epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5821,1.2088,3.14817,1.50252,0.00241,0.72222,0.00304,0.00208,0.60636,4.17548,1.13988,0.00012,0.00012,0.00012
2,56.3841,1.15066,3.35094,1.38574,0.00315,0.94444,0.01805,0.01241,0.64883,4.01054,0.9625,0.00024284,0.00024284,0.00024284
3,70.1357,1.3126,3.11568,1.47454,0.00315,0.94444,0.27761,0.20562,0.58139,3.80865,0.88777,0.0003472,0.0003472,0.0003472
4,84.0835,1.38697,2.88593,1.49897,0.00315,0.94444,0.84383,0.59355,0.82972,3.68996,0.90318,0.00043308,0.00043308,0.00043308
5,99.1118,1.01701,2.29957,1.234,0.76515,0.72413,0.86604,0.49018,1.04885,3.6822,0.9466,0.00050048,0.00050048,0.00050048
6,112.156,1.22184,2.53541,1.29636,0.82868,0.80699,0.87536,0.49945,1.09951,3.42846,0.95254,0.0005494,0.0005494,0.0005494
7,125.686,1.33256,2.51056,1.3089,0.75673,0.61111,0.77181,0.31827,1.15891,3.62492,1.04766,0.00057984,0.00057984,0.00057984
8,138.85,1.12782,2.32126,1.22519,0.93159,0.61111,0.71791,0.39266,1.05544,3.66626,1.03607,0.0005918,0.0005918,0.0005918
9,153.172,1.03763,2.2038,1.15769,1,0.51925,0.68749,0.44247,0.88593,3.57107,0.97465,0.00058528,0.00058528,0.00058528
10,167.176,1.12872,2.09454,1.17088,1,0.5472,0.70947,0.4506,1.01647,3.33355,1.03232,0.00056028,0.00056028,0.00056028
11,180.939,1.03576,1.99301,1.19095,0.74585,0.61111,0.74524,0.43505,1.09678,3.21582,1.10101,0.0005168,0.0005168,0.0005168
12,194.416,1.02669,1.97468,1.20965,0.56179,0.66667,0.66696,0.40769,1.10337,3.14341,1.07591,0.00045484,0.00045484,0.00045484
13,208.297,1.10032,2.10986,1.18555,0.50208,0.72222,0.64752,0.42135,1.05317,2.95624,1.03481,0.0003744,0.0003744,0.0003744
14,221.917,0.8945,1.9652,1.11105,0.50208,0.72222,0.64752,0.42135,1.05317,2.95624,1.03481,0.00027548,0.00027548,0.00027548
15,235.34,0.9169,1.86389,1.12143,0.53696,0.77778,0.68222,0.4414,1.10557,2.82986,1.05908,0.000152,0.000152,0.000152
